step,capsule_payload_bytes,capsule_scalar_values_sent,contact_threshold_rx_power_dbm,contact_threshold_snr_db,expert_bank_advertisement_bytes,expert_bank_advertisement_scalar_values,expert_bank_manifest_records,expert_bank_model_messages,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_parameter_values_pulled,model_payload_bytes,model_transfer_snr_min_db,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,weighted_single_model_pulls
1,0,0,-100.0,0.0,0,0,0,0,628,314,0,0.0,0.0,0,1.0,0,0,0.0,-100.0,123.0,-100.0,0.0,0
2,690384,172596,-100.0,0.0,2700,675,675,29,698,349,527452,0.527452,0.527452,29,1.0,131805,527220,0.0,-100.0,123.0,-100.0,0.0,29
3,1506936,376734,-100.0,0.0,2980,745,745,31,786,393,563828,1.09128,0.563828,31,1.0,140895,563580,0.0,-100.0,123.0,-100.0,0.0,31
4,1800120,450030,-100.0,0.0,3096,774,774,31,796,398,563828,1.655108,0.563828,31,1.0,140895,563580,0.0,-100.0,123.0,-100.0,0.0,31
5,2246496,561624,-100.0,0.0,3424,856,856,32,856,428,582016,2.237124,0.582016,32,1.0,145440,581760,0.0,-100.0,123.0,-100.0,0.0,32
6,2344912,586228,-100.0,0.0,3416,854,854,32,876,438,582016,2.81914,0.582016,32,1.0,145440,581760,0.0,-100.0,123.0,-100.0,0.0,32
7,3135888,783972,-100.0,0.0,3408,852,852,31,852,426,563828,3.382968,0.563828,31,1.0,140895,563580,0.0,-100.0,123.0,-100.0,0.0,31
8,3769072,942268,-100.0,0.0,3496,874,874,32,894,447,582016,3.964984,0.582016,32,1.0,145440,581760,0.0,-100.0,123.0,-100.0,0.0,32
9,3969784,992446,-100.0,0.0,3568,892,892,33,918,459,600204,4.565188,0.600204,33,1.0,149985,599940,0.0,-100.0,123.0,-100.0,0.0,33
10,4254912,1063728,-100.0,0.0,3212,803,803,32,806,403,582016,5.147204,0.582016,32,1.0,145440,581760,0.0,-100.0,123.0,-100.0,0.0,32
11,4549008,1137252,-100.0,0.0,3328,832,832,33,832,416,600204,5.747408,0.600204,33,1.0,149985,599940,0.0,-100.0,123.0,-100.0,0.0,33
12,4653432,1163358,-100.0,0.0,3064,766,766,32,766,383,582016,6.329424,0.582016,32,1.0,145440,581760,0.0,-100.0,123.0,-100.0,0.0,32
13,4797936,1199484,-100.0,0.0,2976,744,744,32,744,372,582016,6.91144,0.582016,32,1.0,145440,581760,0.0,-100.0,123.0,-100.0,0.0,32
14,4816400,1204100,-100.0,0.0,2600,650,650,31,650,325,563828,7.475268,0.563828,31,1.0,140895,563580,0.0,-100.0,123.0,-100.0,0.0,31
15,5377000,1344250,-100.0,0.0,2504,626,626,31,650,325,563828,8.039096,0.563828,31,1.0,140895,563580,0.0,-100.0,123.0,-100.0,0.0,31
16,5749016,1437254,-100.0,0.0,2612,653,653,32,670,335,582016,8.621112,0.582016,32,1.0,145440,581760,0.0,-100.0,123.0,-100.0,0.0,32
17,5822248,1455562,-100.0,0.0,2816,704,704,32,722,361,582016,9.203128,0.582016,32,1.0,145440,581760,0.0,-100.0,123.0,-100.0,0.0,32
18,6264048,1566012,-100.0,0.0,2720,680,680,32,686,343,582016,9.785144,0.582016,32,1.0,145440,581760,0.0,-100.0,123.0,-100.0,0.0,32
19,6612512,1653128,-100.0,0.0,2780,695,695,33,702,351,600204,10.385348,0.600204,33,1.0,149985,599940,0.0,-100.0,123.0,-100.0,0.0,33
