step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
1,-47.5,57.5,0,0,0,0.0,0.0,0,0.0,57.5,,,,,0,,,0,0,,0,-105.0,70.5,-47.5,5.0,0,0.0,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-47.5,57.5,2,1,0,0.0,0.0,0,0.0,57.5,0,562500.0,67.51023864746094,67.51023864746094,1,2,0,1,2,0,1,-105.0,70.5,-47.5,5.0,296552,0.296552,nan,0.296552,nan,1,0,296536,2,0,0,1,16,4,1,12,3,4,1,0,0,1
3,-47.5,57.5,12,6,0,0.0,0.0,0,0.0,57.5,3,562500.0,29.76582370556312,20.01055968068995,6,12,3,4,12,0,7,-105.0,70.5,-47.5,5.0,1186208,1.48276,nan,1.186208,nan,4,0,1186144,8,0,0,4,64,16,4,48,12,16,4,0,0,4
4,-47.5,57.5,16,8,0,0.0,0.0,0,0.0,57.5,0,562500.0,34.19896657328485,32.37753901283723,8,16,0,3,16,0,3,-105.0,70.5,-47.5,5.0,889752,2.372512,nan,0.889752,nan,3,0,889704,6,0,0,3,48,12,3,36,9,12,3,0,0,3
5,-47.5,57.5,20,10,0,0.0,0.0,0,0.0,57.5,0,562500.0,49.36434070057077,35.573725653469126,10,20,0,2,20,0,2,-105.0,70.5,-47.5,5.0,593152,2.965664,nan,0.593152,nan,2,0,593120,4,0,0,2,32,8,2,24,6,8,2,0,0,2
6,-47.5,57.5,22,11,0,0.0,0.0,0,0.0,57.5,0,562500.0,59.50337600708008,59.50337600708008,11,22,0,1,22,0,1,-105.0,70.5,-47.5,5.0,296584,3.262248,nan,0.296584,nan,1,0,296568,2,0,0,1,16,4,1,12,3,4,1,0,0,1
7,-47.5,57.5,24,12,0,0.0,0.0,0,0.0,57.5,0,562500.0,67.58283615112305,67.58283615112305,12,24,0,1,24,0,1,-105.0,70.5,-47.5,5.0,296552,3.5588,nan,0.296552,nan,1,0,296536,2,0,0,1,16,4,1,12,3,4,1,0,0,1
8,-47.5,57.5,26,13,0,0.0,0.0,0,0.0,57.5,0,0.0,nan,nan,13,26,0,0,26,0,0,-105.0,70.5,-47.5,5.0,0,3.5588,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-47.5,57.5,32,16,0,0.0,0.0,0,0.0,57.5,1,562500.0,67.79667663574219,67.79667663574219,16,32,1,1,32,0,2,-105.0,70.5,-47.5,5.0,296584,3.855384,nan,0.296584,nan,1,0,296568,2,0,0,1,16,4,1,12,3,4,1,0,0,1
10,-47.5,57.5,34,17,0,0.0,0.0,0,0.0,57.5,0,562500.0,62.037132263183594,62.037132263183594,17,34,0,1,34,0,1,-105.0,70.5,-47.5,5.0,296568,4.151952,nan,0.296568,nan,1,0,296552,2,0,0,1,16,4,1,12,3,4,1,0,0,1
