step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,sample_network_bundle_capacity_bytes,sample_network_delivered_samples,sample_network_encoder_bytes_per_direction,sample_network_max_samples_per_direction,sample_network_raw_contact_pairs,sample_network_scheduled_transfers,sample_network_transfer_proposals,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
1,-47.5,57.5,0,0,0,0.0,0.0,0,0.0,57.5,,,,,0,,,0,0,,0,-105.0,70.5,-47.5,,,,,,,,5.0,0,0.0,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-47.5,57.5,2,1,0,0.0,0.0,0,0.0,57.5,1,562500.0,64.57561492919922,64.57561492919922,1,2,1,1,2,0,2,-105.0,70.5,-47.5,192878,0,0,32,1,0,0,5.0,296624,0.296624,nan,0.296624,nan,1,72,296536,2,0,0,1,16,4,1,12,3,4,1,0,0,1
3,-47.5,57.5,4,2,0,0.0,0.0,0,0.0,57.5,0,562500.0,63.27318572998047,63.27318572998047,2,4,0,1,4,0,1,-105.0,70.5,-47.5,192878,2,0,32,2,1,1,5.0,296992,0.593616,nan,0.296992,nan,1,72,296568,2,0,0,1,16,4,1,12,3,4,1,336,2,1
4,-47.5,57.5,8,4,0,0.0,0.0,0,0.0,57.5,1,562500.0,46.30206828579315,38.914226312006505,4,8,1,3,8,0,4,-105.0,70.5,-47.5,192878,2,0,32,4,1,2,5.0,890224,1.48384,nan,0.890224,nan,3,216,889624,6,0,0,3,48,12,3,36,9,12,3,336,2,3
5,-47.5,57.5,10,5,0,0.0,0.0,0,0.0,57.5,0,562500.0,63.648582458496094,63.648582458496094,5,10,0,1,10,0,1,-105.0,70.5,-47.5,192878,5,0,32,5,3,5,5.0,297496,1.781336,nan,0.297496,nan,1,72,296568,2,0,0,1,16,4,1,12,3,4,1,840,5,1
6,-47.5,57.5,10,5,0,0.0,0.0,0,0.0,57.5,0,0.0,nan,nan,5,10,0,0,10,0,0,-105.0,70.5,-47.5,192878,8,0,32,5,2,3,5.0,1344,1.78268,nan,0.001344,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1344,8,0
7,-47.5,57.5,6,3,0,0.0,0.0,0,0.0,57.5,0,0.0,nan,nan,3,6,0,0,6,0,0,-105.0,70.5,-47.5,192878,1,0,32,3,1,1,5.0,168,1.782848,nan,0.000168,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,1,0
8,-47.5,57.5,6,3,0,0.0,0.0,0,0.0,57.5,0,0.0,nan,nan,3,6,0,0,6,0,0,-105.0,70.5,-47.5,192878,0,0,32,3,0,0,5.0,0,1.782848,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-47.5,57.5,6,3,0,0.0,0.0,0,0.0,57.5,0,562500.0,59.073495864868164,57.89350128173828,3,6,0,2,6,0,2,-105.0,70.5,-47.5,192878,0,0,32,3,0,0,5.0,593280,2.376128,nan,0.59328,nan,2,144,593104,4,0,0,2,32,8,2,24,6,8,2,0,0,2
10,-47.5,57.5,6,3,0,0.0,0.0,0,0.0,57.5,0,562500.0,59.496625900268555,59.49662399291992,3,6,0,1,6,0,1,-105.0,70.5,-47.5,192878,2,0,32,3,1,2,5.0,297008,2.673136,nan,0.297008,nan,1,72,296584,2,0,0,1,16,4,1,12,3,4,1,336,2,1
